Nama Perusahaan,Link,Title,Date
Industri dan Perdagangan Bintraco Dharma,https://industri.kontan.co.id/news/industri-dan-perdagangan-bintraco-dharma-cars-siap-pacu-penjualan-mobil-baru,Industri dan Perdagangan Bintraco Dharma (CARS) Siap Pacu Penjualan Mobil Baru,31 Mar 2024
Industri dan Perdagangan Bintraco Dharma,https://market.bisnis.com/read/20240320/192/1751212/pendapatan-bintraco-dharma-cars-tembus-rp648-triliun-sepanjang-2023,"Pendapatan Bintraco Dharma (CARS) Tembus Rp6,48 Triliun Sepanjang 2023",20 Mar 2024
Industri dan Perdagangan Bintraco Dharma,https://emitennews.com/news/perkuat-bisnis-otomotif-bintraco-dharma-cars-dirikan-anak-usaha,"Perkuat Bisnis Otomotif, Bintraco Dharma (CARS) Dirikan Anak Usaha",8 Mar 2024
Industri dan Perdagangan Bintraco Dharma,https://industri.kontan.co.id/news/penjualan-bintraco-dharma-cars-capai-rp-165-triliun-di-kuartal-i-2024,"Penjualan Bintraco Dharma (CARS) Capai Rp 1,65 Triliun di Kuartal I-2024",30 Apr 2024
Industri dan Perdagangan Bintraco Dharma,https://pasardana.id/news/2024/3/21/akuntan-publik-soroti-11-anak-usaha-cars-milik-paulus-totok/,Akuntan Publik Soroti 11 Anak Usaha CARS Milik Paulus Totok,21 Mar 2024
Industri dan Perdagangan Bintraco Dharma,https://emitennews.com/news/politikus-psi-jual-15-juta-saham-bintraco-dharma-cars-buat-apa-nih,"Politikus PSI Jual 15 Juta Saham Bintraco Dharma (CARS), Buat Apa Nih?",5 Feb 2024
Industri dan Perdagangan Bintraco Dharma,https://koran.tempo.co/read/ekonomi-dan-bisnis/485219/10-saham-sektor-otomotif-yang-terdaftar-di-bei,10 Saham Sektor Otomotif yang Terdaftar di BEI,27 Okt 2023
Industri dan Perdagangan Bintraco Dharma,https://investasi.kontan.co.id/news/bintraco-dharma-cars-optimistis-target-penjualan-mobil-20000-unit-tercapai,Bintraco Dharma (CARS) Optimistis Target Penjualan Mobil 20.000 Unit Tercapai,11 Des 2023
Industri dan Perdagangan Bintraco Dharma,https://ekbis.sindonews.com/read/1199277/38/cars-beri-penjelasan-soal-tak-punya-pemegang-saham-pengendali-1694498943,CARS Beri Penjelasan soal Tak Punya Pemegang Saham Pengendali,12 Sep 2023
Industri dan Perdagangan Bintraco Dharma,https://market.bisnis.com/read/20230729/192/1679274/pendapatan-bintraco-dharma-cars-tembus-rp296-triliun-semester-i2023,"Pendapatan Bintraco Dharma (CARS) Tembus Rp2,96 Triliun Semester I/2023",29 Jul 2023
Industri dan Perdagangan Bintraco Dharma,https://pasardana.id/news/2023/9/8/paulus-totok-hingga-trim-tepis-jadi-pengendali-baru-cars/,Paulus Totok Hingga TRIM Tepis Jadi Pengendali Baru CARS,8 Sep 2023
Industri dan Perdagangan Bintraco Dharma,https://emitennews.com/news/cari-pengendali-bintraco-dharma-cars-rayu-sejumlah-investor-retail,"Cari Pengendali, Bintraco Dharma (CARS) Rayu Sejumlah Investor Retail",8 Sep 2023
Industri dan Perdagangan Bintraco Dharma,https://industri.kontan.co.id/news/bintraco-dharma-cars-catat-pendapatan-tumbuh-1790-di-tahun-2023,"Bintraco Dharma (CARS) Catat Pendapatan Tumbuh 17,90% di Tahun 2023",25 Mar 2024
Industri dan Perdagangan Bintraco Dharma,https://market.bisnis.com/read/20230824/192/1688020/komisaris-utama-bintraco-dharma-jual-150-juta-saham-cars-cek-cuannya,"Komisaris Utama Bintraco Dharma Jual 150 Juta Saham CARS, Cek Cuannya",24 Agu 2023
Industri dan Perdagangan Bintraco Dharma,https://industri.kontan.co.id/news/bintraco-dharma-cars-siapkan-capex-rp-60-miliar-rp-70-miliar-di-2024,Bintraco Dharma (CARS) Siapkan Capex Rp 60 Miliar-Rp 70 Miliar di 2024,1 Mei 2024
Industri dan Perdagangan Bintraco Dharma,https://emitennews.com/news/industri-perdagangan-bintraco-dharma-cars-catat-kenaikan-pendapatan-cek-datanya,"Industri Perdagangan Bintraco Dharma (CARS) Catat Kenaikan Pendapatan, Cek Datanya",29 Jul 2023
Industri dan Perdagangan Bintraco Dharma,https://industri.kontan.co.id/news/bintraco-dharma-cars-yakin-kejar-target-penjualan-mobil-20000-unit-di-akhir-2023,Bintraco Dharma (CARS) Yakin Kejar Target Penjualan Mobil 20.000 Unit di Akhir 2023,10 Des 2023
Industri dan Perdagangan Bintraco Dharma,https://investasi.kontan.co.id/news/cars-bentuk-anak-usaha-untuk-memperkuat-jaringan-di-sektor-otomotif,CARS Bentuk Anak Usaha untuk Memperkuat Jaringan di Sektor Otomotif,8 Mar 2024
Industri dan Perdagangan Bintraco Dharma,https://insight.kontan.co.id/news/cuan-jumbo-mantan-ketum-rei-di-saham-emiten-pemilik-diler-toyota-nasmoco-cars,Cuan Jumbo Mantan Ketum REI di Saham Emiten Pemilik Diler Toyota Nasmoco (CARS),22 Agu 2023
Industri dan Perdagangan Bintraco Dharma,https://investasi.kontan.co.id/news/ini-alasan-rights-issue-bintraco-dharma-cars-ditunda-ke-tahun-2023,Ini Alasan Rights Issue Bintraco Dharma (CARS) Ditunda ke Tahun 2023,15 Nov 2022
Industri dan Perdagangan Bintraco Dharma,https://pusatdata.kontan.co.id/quote/CARS,CARS : PT Industri dan Perdagangan Bintraco Dharma Tbk,24 Apr 2020
Industri dan Perdagangan Bintraco Dharma,https://investor.id/market/324392/bintraco-dharma-cars-berbalik-untung-rp-136-miliar,Bintraco Dharma (CARS) Berbalik Untung Rp 136 Miliar,14 Mar 2023
Industri dan Perdagangan Bintraco Dharma,https://insight.kontan.co.id/news/bisnis-dan-kinerja-industri-dan-perdagangan-bintraco-dharma-cars-melambat,Bisnis dan Kinerja Industri dan Perdagangan Bintraco Dharma (CARS) Melambat,30 Jun 2020
Industri dan Perdagangan Bintraco Dharma,https://insight.kontan.co.id/news/industri-dan-perdagangan-bintraco-dharma-cars-optimistis-otomotif-membaik,Industri dan Perdagangan Bintraco Dharma (CARS) Optimistis Otomotif Membaik,31 Mar 2021
Industri dan Perdagangan Bintraco Dharma,https://www.cnbcindonesia.com/market/20190321103854-17-62024/demi-likuiditas-bintraco-dharma-akan-stock-split-110,"Demi Likuiditas, Bintraco Dharma Akan Stock Split 1:10",21 Mar 2019
Industri dan Perdagangan Bintraco Dharma,https://insight.kontan.co.id/news/pt-industri-dan-perdagangan-bintraco-dharma-tbk-cars-masih-wait-and-see-target-2021,PT Industri dan Perdagangan Bintraco Dharma Tbk (CARS) Masih Wait and See Target 2021,30 Nov 2020
Industri dan Perdagangan Bintraco Dharma,https://industri.kontan.co.id/news/soal-kehadiran-investor-baru-begini-tanggapan-bintraco-dharma-cars,"Soal Kehadiran Investor Baru, Begini Tanggapan Bintraco Dharma (CARS)",22 Sep 2022
Industri dan Perdagangan Bintraco Dharma,https://emitennews.com/news/bintraco-dharma-cars-minta-restu-right-issue-30-miliar-saham,Bintraco Dharma (CARS) Minta Restu Right Issue 30 Miliar Saham,30 Sep 2022
Industri dan Perdagangan Bintraco Dharma,https://market.bisnis.com/read/20220905/192/1574356/bintraco-dharma-cars-bakal-punya-investor-baru-ada-boy-thohir-grup-triputra,"Bintraco Dharma (CARS) Bakal Punya Investor Baru, Ada Boy Thohir & Grup Triputra?",5 Sep 2022
Industri dan Perdagangan Bintraco Dharma,https://insight.kontan.co.id/news/ada-pengusaha-properti-garam-masuk-ke-saham-cars-saat-bintraco-dharma-diterpa-badai,Ada Pengusaha Properti & Garam Masuk ke Saham CARS Saat Bintraco Dharma Diterpa Badai,14 Apr 2022
Industri dan Perdagangan Bintraco Dharma,https://insight.kontan.co.id/news/bintraco-dharma-cars-menahan-rencana-ekspansi-diler-tahun-ini,Bintraco Dharma (CARS) Menahan Rencana Ekspansi Diler Tahun Ini,6 Sep 2022
Industri dan Perdagangan Bintraco Dharma,https://investasi.kontan.co.id/news/bintraco-dharma-cars-membentuk-anak-usaha-penjualan-suku-cadang-dan-aksesori,Bintraco Dharma (CARS) membentuk anak usaha penjualan suku cadang dan aksesori,23 Jul 2019
Industri dan Perdagangan Bintraco Dharma,https://investasi.kontan.co.id/news/gelar-rupslb-bintraco-dharma-cars-setujui-perubahan-manajemen-baru,"Gelar RUPSLB, Bintraco Dharma (CARS) Setujui Perubahan Manajemen Baru",26 Jun 2022
