Column1;Name;Comments;Likes;Replies;Published
0;David Emanuel Rosini;His humor is out of this world. Ryan is a natural comedian, he can deliver funny jokes effortlessly.;1.4K;30 REPLIES;3 weeks ago
1;marsgizmo;Ryan, your “mini-movies” are the best and pretty inspiring! ;1.3K;3 REPLIES;3 weeks ago
2;Victor737;Ryan Reynolds is one of the only people who can make an ad that people will watch willingly.;749;10 REPLIES;3 weeks ago (edited)
3;Julia Connell;Ryan Reynolds - that only person who can advertise advertisements and make me want to watch them, every.single.time.;433;4 REPLIES;3 weeks ago
4;Tony Rodney;Your commitment to using your resources to help people is an inspiration Ryan. You are truly deserving of the Order Of Canada and if every person with wealth were like you, Capitalism would work as it does on paper.;327;5 REPLIES;3 weeks ago (edited)
5;Broken Not Dead;I love all the work you are doing. At 44 I just started Film School after years in the Army and will definitely be checking it out. Thank you again for been the amazing person you are.;526;32 REPLIES;3 weeks ago
6;David Emanuel Rosini;It's because of his personality we're watching everything Ryan posts.;269;7 REPLIES;3 weeks ago
7;Robert Buth;"I absolutely love how much credit he gives to other people. Like when he also did the ""Background People are important too"" ad. Its just so great and very sincerely entertaining.";66;1 REPLY;3 weeks ago
8;Don't Read My Profile Photo;We can all agree that he never disappoints us with his content ??;69;5 REPLIES;3 weeks ago
9;UPNORTHOF60;Brilliant idea Ryan! This is exactly what’s needed to inspire the youth in the remote communities up here in the Northwest territories.;187;0 REPLY;3 weeks ago
10;Vivian Rivera;I love how he’s telling the lighting department to be kind when he hasn’t aged a day in the last 20 years. ;87;1 REPLY;3 weeks ago
11;Winnie Lewis;Yes Ryan we know you love ads, and we love to watch them (well yours) ;157;4 REPLIES;3 weeks ago
12;Ater | Python;Nice! Never really knew this! And I am really excited for where the Creative Ladder will go!;138;4 REPLIES;3 weeks ago (edited)
13;Lightning Slayer;Unfortunately, Ryan is the only person to make ads more enjoyable and watchable for us to watch. He is basically a true legend.;60;1 REPLY;3 weeks ago (edited)
14;VicariousNick;Ryan's ads are the only ads I never skip lol;102;4 REPLIES;3 weeks ago
15;Carter Busby;Just when I thought I couldn't love this guy any more... He goes and does this!;40;1 REPLY;3 weeks ago
16;Andrew Frey;This man is a legend. Glad to see someone staying in touch with their roots and the common good, even when they have everything. Inspiring, really.;14;0 REPLY;3 weeks ago
17;xxPenjoxx;Well done Ryan and team, sounds like an amazing non-profit that will help people with their creative goals;9;1 REPLY;3 weeks ago
18;Trap Himawari;Ads and commercials can be amazing sometimes, it adds to the media experience especially when done right, and plenty of actors started their career as commercial/ad actors and its good to give this form of commercial acting a chance to prove itself that its more than just corporates trying to sell you stuff because ads and commercials also contribute to culture of which products we consume or associate with, and usually high profile actors such as yourself get a bad wrap from doing these ads but tbh they simply don't understand that acting is more than just a job but a lifestyle, and its not just with ads especially with actors auditioning and casting for b-rated movies think that its just a cash grab well sometimes it is but it adds experience and gets actors more aquatinted to the acting lifestyle no matter how big or small a role is, every seemingly mediocre aspect is always important for acting and I thank you Ryan and every actor out there who is working their hardest in whatever role they portray no matter how big or small or its purpose its always at the end of the day for self improvement and I hope one day everyone especially with those who are not knowledgeable in acting will understand one day and learn to love the little things in general;28;1 REPLY;3 weeks ago
19;Thomas Shacklock;Ryan never ceases to amaze me!;8;2 REPLIES;3 weeks ago
20;Rachael Ward;I love how he’s telling the lighting department to be kind when he hasn’t aged a day in the last 20 years. ;52;1 REPLY;3 weeks ago
21;Ashley Nell;Sadly, working in the creative industry has made me hate the creative industry (I'm a Graphic Designer). It's not just about ensuring everyone gets a shot, it's also about respecting the ones that are already in it.;5;0 REPLY;3 weeks ago
22;FirstDarkAngel2001;I'm glad that you are doing such a thing as this. It's amazing, and you and your team are amazing for this as well! Also, I think everyone loves your mini movies mainly because they aren't run multiple times every day. ^^ at least that's why I enjoy them.;15;1 REPLY;3 weeks ago
23;Jay Cee;Aw thanks for giving the spotlight on the people working on the creative process. We're so behind the scenes we can hardly been seen <3;10;0 REPLY;3 weeks ago
24;AriesVixen;You know it's gonna be a program actually worth something with Reynolds being co-founder. He's one of the few left in the world who still cares and tries to make a difference where he can.;22;4 REPLIES;3 weeks ago
25;Dirty Bastard Little;Ryan, you're just about the greatest... keep up the great work!;13;0 REPLY;3 weeks ago
26;Clearly Rooted;Ryan, you should add making sure sets are ADA accessible as part of your initiative! That would help toward the goal of making these careers accessible for all. ;42;5 REPLIES;3 weeks ago
27;Infinitive Rogue;I love seeing the behind the scenes of everything, and watching these actours enjoying what they're doing, his humor and creativity is the highlight of it all.     ;1;0 REPLY;2 weeks ago
