,Title,Views,Date,Duration,Date Detail,View Detail,Number of Likes,Number of Comments
0,Creative Ladder,614K views,3 weeks ago,1:35,"Jun 21, 2022","614,148",3800,1203
1,Record Deflation,304K views,4 weeks ago,0:31,"Jun 15, 2022","304,342",2000,1024
2,Nick Cannon's Vasectomy,1M views,1 month ago,1:36,"Jun 9, 2022","1,038,646",5400,1648
3,Spokesmom,556K views,2 months ago,0:31,"May 8, 2022","556,332",2800,855
4,Mother's Ruin Punch,2.3M views,2 months ago,1:17,"May 6, 2022","2,307,871",8400,1492
5,"""Family"" Plan",753K views,2 months ago,0:31,"May 4, 2022","753,641",2800,922
6,Betty Buzz Does Bubbles,1.7M views,2 months ago,0:31,"Apr 21, 2022","1,734,073",6300,1099
7,Meet Mr. MNTN,3.2M views,2 months ago,1:21,"Apr 19, 2022","3,200,858",2300,896
8,"Happy Birthday, Rob",1M views,2 months ago,0:37,"Apr 14, 2022","1,056,185",3500,1239
9,Mint Mobile's Customer Awards,460K views,3 months ago,0:31,"Mar 29, 2022","460,083",2300,819
10,Cybersecurity and Skin Care,1.5M views,3 months ago,1:01,"Mar 24, 2022","1,558,106",5900,1646
11,Rejected Airline Safety Video,1.4M views,3 months ago,0:43,"Mar 16, 2022","1,410,706",5100,943
12,The Adam Project Daylight Savings,1M views,4 months ago,1:24,"Mar 11, 2022","1,036,521",5300,1782
13,Krafty Kid,5.1M views,4 months ago,0:52,"Mar 7, 2022","5,112,457",24400,3058
14,The Adam Project Official Trailer,475K views,4 months ago,2:41,"Mar 1, 2022","475,513",2600,1279
15,The Adam Project Trailer Tomorrow,981K views,4 months ago,1:47,"Feb 28, 2022","981,742",4600,870
16,Miracle on Ice,302K views,4 months ago,1:01,"Feb 21, 2022","302,366",1700,646
17,Adam meets Adam.,530K views,4 months ago,3:49,"Feb 20, 2022","530,273",2200,880
18,Upcycled,3.3M views,5 months ago,0:31,"Feb 13, 2022","3,326,484",2100,780
19,The Adam Project Teaser Trailer,435K views,5 months ago,2:49,"Feb 10, 2022","435,872",2700,1859
20,Dave Foley's Unwritten Mint Commercial,118K views,5 months ago,0:42,"Feb 4, 2022","118,410",8700,426
21,MNTN High-Performance TV,176K views,5 months ago,0:31,"Jan 28, 2022","176,217",8100,328
22,Small Investmint,672K views,5 months ago,0:31,"Jan 21, 2022","672,411",3600,1001
23,Winnie-the-Screwed,3.1M views,6 months ago,1:30,"Jan 2, 2022","3,171,909",3000,1145
24,Spirited iPhoto Album,303K views,6 months ago,1:03,"Dec 25, 2021","303,070",1300,458
25,Aviation's Virgin Voyage,644K views,6 months ago,1:17,"Dec 14, 2021","644,083",2900,858
26,Yes to SickKids Scrubs,540K views,7 months ago,0:52,"Dec 9, 2021","540,616",3400,861
27,Big Mistake,417K views,7 months ago,0:29,"Dec 8, 2021","417,109",2200,704
28,Brain On Cheese,2M views,7 months ago,0:31,"Dec 8, 2021","2,028,439",9800,2508
29,This Old Hole,167K views,7 months ago,0:31,"Dec 8, 2021","167,224",8500,206
30,The Wait Of The World,178K views,7 months ago,0:31,"Dec 8, 2021","178,694",1000,318
31,Me And My Oscars,211K views,7 months ago,0:31,"Dec 8, 2021","211,945",9200,252
32,Shoulder Patties,164K views,7 months ago,0:31,"Dec 8, 2021","164,501",7500,236
33,The American Gin,183K views,7 months ago,0:31,"Dec 8, 2021","183,603",1200,419
34,Chilled Gin,89K views,7 months ago,0:31,"Dec 8, 2021","89,912",6800,187
35,Maximum 80s,598K views,7 months ago,3:53,"Premiered Dec 8, 2021","598,739",4000,1829
36,Ads Should Be Fun,2.3M views,7 months ago,0:52,"Dec 6, 2021","2,306,981",2800,984
37,Scary Bad Contracts,421K views,7 months ago,0:31,"Dec 3, 2021","421,220",2300,861
38,I'm Not Crying,3.7M views,7 months ago,5:19,"Nov 27, 2021","3,717,422",17100,7424
39,Aviation Gin Misdirect,1M views,7 months ago,1:33,"Nov 19, 2021","1,010,974",4600,1998
40,MNTN Pie Chart,822K views,7 months ago,0:31,"Nov 19, 2021","822,953",1600,505
41,Scary Good Mint Deal,3.9M views,7 months ago,0:37,"Nov 17, 2021","3,902,310",3800,1111
42,Red Notice Roadshow,1.2M views,7 months ago,1:52,"Nov 16, 2021","1,272,343",4700,1572
43,Why Not Mint?,1.9M views,8 months ago,0:31,"Nov 9, 2021","1,946,632",8800,2691
44,Aviation Gin Riblet,903K views,8 months ago,1:00,"Nov 2, 2021","903,127",3900,1284
45,Red Notice Official Trailer,927K views,8 months ago,2:57,"Oct 21, 2021","927,203",3600,1825
46,Free Guy Free,739K views,8 months ago,0:31,"Oct 15, 2021","739,113",4300,1139
47,National Vodka Day,379K views,9 months ago,1:01,"Oct 4, 2021","379,452",2500,795
48,Do Ryan Reynolds Ads Work?,1.1M views,9 months ago,1:40,"Sep 28, 2021","1,189,213",3900,1290
49,We Tried To Fight Gal Gadot,5M views,9 months ago,3:18,"Sep 26, 2021","5,024,429",18700,7474
50,FIFA Geography,602K views,10 months ago,0:52,"Sep 12, 2021","602,601",3000,878
51,Red Notice Teaser Trailer,3.5M views,10 months ago,2:19,"Sep 2, 2021","3,513,171",12500,7852
52,NPCs Assemble,677K views,10 months ago,0:48,"Aug 27, 2021","677,509",2900,1098
53,Fantasy feat. Jodie Comer,1M views,10 months ago,1:19,"Aug 21, 2021","1,098,421",4500,1790
54,National Aviation Day,439K views,10 months ago,1:12,"Aug 19, 2021","439,853",2300,985
55,The Characters of Free Guy,427K views,11 months ago,1:31,"Aug 13, 2021","427,265",2700,960
56,Best Supporting Actors,7.6M views,11 months ago,1:33,"Aug 12, 2021","7,620,468",40500,6004
57,Next Level Reynolds,16M views,11 months ago,1:49,"Aug 2, 2021","16,087,046",40100,13022
58,Deadpool and Korg React,17M views,1 year ago,4:28,"Jul 13, 2021","17,645,502",90400,21097
59,Epic Offer,5.4M views,1 year ago,0:31,"Jul 13, 2021","5,467,456",3400,973
60,The Bobby Bonilla Wireless Plan,200K views,1 year ago,0:31,"Jul 1, 2021","200,056",7900,261
61,Mint Condition,328K views,1 year ago,0:31,"Jul 1, 2021","328,197",1200,449
62,Interview with My Twin Brother,1.7M views,1 year ago,2:37,"Jun 23, 2021","1,705,775",8300,2887
63,Ryan Reynolds' Vasectomy,7.4M views,1 year ago,1:46,"Jun 9, 2021","7,496,909",30500,7553
64,Welcome to Wrexham,1.9M views,1 year ago,2:05,"May 18, 2021","1,964,331",7700,3375
65,Don't Aviation and Mint,1.6M views,1 year ago,1:01,"May 4, 2021","1,654,398",5500,2064
66,New Aviation Spokesperson,1.6M views,1 year ago,0:49,"Apr 23, 2021","1,625,400",6800,2642
67,Highkey Craving,326K views,1 year ago,0:49,"Apr 20, 2021","326,383",1900,762
68,Dream Job,9.5M views,1 year ago,1:23,"Apr 7, 2021","9,538,172",17900,4544
69,HighKey Adorable,451K views,1 year ago,0:50,"Mar 11, 2021","451,688",1900,638
70,Bitcoin DocuMintary,3.9M views,1 year ago,1:33,"Feb 13, 2021","3,941,168",3400,1539
71,Highkey Romantic,498K views,1 year ago,0:59,"Feb 12, 2021","498,792",2600,801
72,Sugar Panda,447K views,1 year ago,0:39,"Feb 11, 2021","447,783",2900,1093
73,Mixing with Diddy and Beckham,511K views,1 year ago,1:20,"Feb 5, 2021","511,013",3100,974
74,I Don't Know,2.4M views,1 year ago,,"Jan 22, 2021","2,876,091",3600,1674
75,Betty Birthday Throwback,1.9M views,1 year ago,3:23,"Jan 17, 2021","1,991,938",8000,3647
76,Deadpool 2 Monologue,2.6M views,1 year ago,1:14,"Jan 5, 2021","2,678,830",14900,3563
77,Mint Cameo,718K views,1 year ago,0:40,"Dec 26, 2020","718,766",3600,1258
78,Last Minute Gin,883K views,1 year ago,0:39,"Dec 24, 2020","883,821",4600,1283
79,The Ugly Xmas Sweater for SickKids,1.1M views,1 year ago,1:05,"Dec 5, 2020","1,144,468",6800,1690
80,When Satan Met 2020,6M views,1 year ago,1:01,"Dec 3, 2020","6,041,267",24100,7237
81,Match Made in Hell,6.6M views,1 year ago,1:28,"Dec 2, 2020","6,684,879",25500,9439
82,A $500 ad,6.4M views,1 year ago,0:31,"Nov 28, 2020","6,449,512",36000,7320
83,EnticeMint,926K views,1 year ago,0:31,"Nov 17, 2020","926,327",5200,1941
84,Forgiveness,3M views,1 year ago,1:18,"Nov 10, 2020","3,082,390",16100,4198
85,Unliminted,784K views,1 year ago,1:23,"Nov 9, 2020","784,484",5000,2200
86,Happy John Candy Day,406K views,1 year ago,1:46,"Nov 1, 2020","406,021",4500,2564
