,Name,Comments,Likes,Replies,Published
0,SyrebralVibes,"Loved the transition from ""No Woman No Cry"" to ""Alright"" ",53K, 323 replies,4 days ago
1,Jackson Ferrao,"Its so amazing to see how memorable Black Panther's character has become for everyone...Its an emotion, teaches so much about life and brings hope...RIP Panther...We miss you...",832, 13 replies,10 hours ago (edited)
2,Christina L.,"Whoever did this teaser needs a raise, this is a masterpiece",1.4K, 23 replies,12 hours ago
3,Christopher Nunn,There’s an indescribable energy to this trailer and I can’t stop watching it.,231, 6 replies,7 hours ago
4,Parle - G Mama Ajith Uncle🤣,“I am queen of the most powerful nation in the world and my entire family is gone! Have I not given everything?!” That line and the trailer as a whole sent chills down my spine. Can’t wait to see this.,706, 9 replies,9 hours ago
5,John Sanchez,Hands down one of the best teaser trailers I’ve ever seen for a film. It resonates because of the fact that Chadwick is no longer with us and the acting from only a few lines of dialogue profoundly emote that very real sadness across a fictional landscape. Kudos to Ryan Coogler and team. This looks like it’s going to be an amazing film!,147, 3 replies,4 hours ago
6,Jung Eirini,The trembling and the intensity in the voice of Ramonda is heartbreaking. We can feel the sadness and pain she is going through but hide it to hype her sholders up.,3.3K, 38 replies,1 day ago
7,Horror Muppet,I've been wanting to see Namor hit this big screen for a long time. It's cool that they're making him start out as the villain like he did in the comics.,364, 11 replies,13 hours ago
8,Blood Clover,"I love the execution of this teaser, super impactful and hits all the right beats.",153,1 reply,13 hours ago
9,djnkosi,No hyperbole: this may be the greatest trailer ever made. It's certainly up there with the best of all time. Instant classic!,25,1 reply,9 hours ago
10,Alvin Fan,"holy cow. this trailer hits home in ways i could never have anticipated. arguably the most important MCU film on the docket. After an overly comic relief rendition of Thor, I can't wait to get back into the deep end.",278, 4 replies,11 hours ago
11,Jesse_Mang,"This looks like a beautiful tribute to Chadwick. I could feel the heart and love pouring from this, I have faith in Ryan Coogler - he can deliver",31,0 reply,7 hours ago
12,Doctor Aaron,"I have mad respect for Ryan Coogler. He wasn't aware of Chadwick Boswman's illness and wasn't expecting his passing. Thus causing him to have to re write the script from the ground up with a limited amount of time, and judging by this trailer, I already know this will be a beautiful and emotional movie that pays respects and celebrates the life of Mr. Boseman.",5K, 96 replies,2 days ago
13,Jermaine Allen,Beautifully done.  Didn’t show too much but enough to engage. And make you want to see more. And show how they plan to do this season. They just shouldn’t release anything else. Leave it like this until it’s in theaters.,19,0 reply,13 hours ago
14,Sheetal Takkar,Goosebumps in every part of body. This going to be the best marvel one thats what it feels like.,10,0 reply,10 hours ago
15,Catherine Ryan,"Rest in Power, Chadwick Boseman. Goosebumps and tears at an all-time high and this was just the trailer. Marvel's crowning saga right here.",45,1 reply,9 hours ago
16,Naphtali Ban Yasharalha,"I love the fact they showed a scene of Namor staring down gunfire, it reminds me of the scene in Civil war when Black Panther did the same.",28,0 reply,12 hours ago
17,Maximus Prime,"I love the way death, grief, life, and rebirth are all expressed in this teaser. I hope Chadwick is somewhere in the Beyond nodding in approval of this tribute to him.",4,0 reply,1 hour ago
18,Benton Grant,"The dichotomy of life and death in this trailer is actually inspiring. He looks like he got the themes down perfect considering the circumstances he was working within. Rip Chad, wakanda forever",1.9K, 14 replies,1 day ago (edited)
19,Alicia Caley,"This trailer had me in tears, I can’t wait to see it in theaters",12,0 reply,8 hours ago
20,Emilee Mayberry,"What a tragedy to lose such a powerful, talented actor way too soon. But this is his legacy, and it sure is epic! RIP Chadwick. Wakanda Forever! ",5,0 reply,8 hours ago
21,BS Killa,Seeing that Mayan headdress being worn by Tenoch Huerta just gave me chills. So many tribal/ancient cultures being represented. This movie is going to be awesome.,5,0 reply,2 hours ago
22,The Database,"First half of the trailer literally felt like a memorial to Chadwick Boseman. Absolutely beautiful, brought me to tears.",4,0 reply,4 hours ago
23,John Kelly,They are not messing around with this trailer. Goosebumps throughout this.,1.7K, 28 replies,1 day ago
24,Tony Hines,Did anybody else get emotional while watching this? I know I did. As a young black man myself Chadwick Boseman was my hero. He was my inspiration. I wish I had the chance to meet him. Rest In Peace Mr. Boseman️️️ WAKANDA FOREVER!!!!,8,0 reply,7 hours ago (edited)
25,Mohammed S.Attalah,"""I am Queen of the most powerful nation in the world"" gave me goosebumps",19,0 reply,7 hours ago (edited)
26,TreDoesitBetter,The fact that I have watched this teaser over 10x speaks volumes! WAKANDA FOREVER! ,6,0 reply,13 hours ago
27,WildBoysTV,this was an exceptionally well made trailer. i hope the movie makes this trailer proud,6,0 reply,8 hours ago
28,Scenic Fights,"That song transition from “No Woman, No Cry” to Kendrick Lamar’s “Alright” was flawless.",3.8K, 33 replies,3 days ago
29,Terisha DeDeaux,"That was amazing, I cannot wait to watch the movie. I believe watching and supporting this movie will show the love and support we show to the legacy Chadwick Boseman left behind. R.I.P. ",6,0 reply,8 hours ago
30,Shanny StRR,"Well I’m a woman, and I definitely teared up just watching the trailer. Which  leads me to believe when the movie comes out, I’ll probably be sobbing like a baby. You can tell they are going to win some Oscars for this; the acting will probably be the best acting of the year. 
Miss you Chadwick ",24,0 reply,13 hours ago
31,R. James,I can’t remember another trailer bringing tears to my eyes. This was perfection!,46,0 reply,10 hours ago
32,Caden Martinez,If the movie is as well crafted as this trailer this will be on of the greatest marvel movies. Wakanda forever!,4,0 reply,6 hours ago
33,ibechuu,"Not sure how I'm going to feel about this knowing that they're most likely going to kill T'Challa.  It's unfortunate that this plot has been determined by Chadwick's death, but it's honorable too. I hope if anything,  that this new Panther is literally him in spirit form, hard to replace such a wonderful actor.",4,0 reply,7 hours ago
34,The Canadian Lad,"Chadwick Boseman is the reason we're where we are with this sequel! You rest in peace my friend, you are and always will be our Black Panther. Wakanda Forever! This trailer looks epic!",146K, 433 replies,4 days ago
35,Rittika Sengupta,"The trailer gave me chills, literally goosebumps Wakanda forever ",6,0 reply,10 hours ago
36,Nerd Girl,Had literal goosebumps watching the teaser. Can't wait for the movie.,27,0 reply,11 hours ago
37,Jason Freeman,No one would believed me if I say I watch this trailer every blessed day and I'll keep watching it until the movie is out! This is one of the most powerful thing I've seen on the internet in my entire existence as human. This is masterpiece at it's highest level of creativity. I don't know how to get the emotional picture outta ma head!! ️ ️,2,0 reply,2 hours ago
38,The Melanin Movement,Ryan Coogler is a gem and has succeeded at giving us JUST the right amount of footage in this teaser. There were messages in there for us as well. Thanks for dropping this just at the right time. Brilliantly done!,2,0 reply,5 hours ago
39,Vasero,"The more I keep watching this, the better it gets and the more goosebumps I get! So excited for this film",3,0 reply,8 hours ago
