uname,text,date,language,reply,likes,reply_count,view_count,retweet_count
tanyarlfes,"💚 spill headphones kalian dong, spill juga + - nya yaa",2024-07-22 15:19:53+00:00,in,,6,11,2642,0
tanyarlfes,"kalian kalau diajakin tmn kantor liburan tp kalian ga nyaman sama org""nya better tetep ikut atau gk?

💚",2024-07-22 14:15:54+00:00,in,,28,150,14423,2
tanyarlfes,"gimana harinya hari ini??

💚",2024-07-22 14:10:45+00:00,in,,12,72,9516,1
tanyarlfes,"lagi banyak pikiran ya? mikirin apa?

💚",2024-07-22 14:10:32+00:00,in,,87,231,23931,1
tanyarlfes,"lagi sedih kenapa?

💚",2024-07-22 14:10:16+00:00,in,,23,167,16506,1
tanyarlfes,💚 https://t.co/URRpjOg21a,2024-07-22 14:09:04+00:00,qme,,127,296,28587,5
tanyarlfes,"💚 T i t i p a n

Wandahara udah klarifikasi nih guys. Wdyt? https://t.co/cW2hXuupo8",2024-07-22 14:08:15+00:00,in,,310,160,56482,9
tanyarlfes,"KKN ber 9 orang (cewe) dirumah warga yg tinggal sendiri (nenek²) rumahnya cukup luas (tidurnya di ruang tamu) dengan biaya 200rb perbulan (belum include air, listrik, dan makanan) hanya ruang tidur saja. menurut kalian itu mahal atau murah ya?

💚",2024-07-22 14:07:39+00:00,in,,47,23,9294,3
tanyarlfes,"main qrt random yuk

💚",2024-07-22 14:06:44+00:00,en,,59,218,31928,2
tanyarlfes,"choose one, pilih kopi atau balikan sama mantan?

💚",2024-07-22 14:06:20+00:00,in,,105,554,43687,3
tanyarlfes,"Guys sender mau nanya kalo lagi haid sebenernya kita tuh boleh gk sih megang al qur'an?

💚",2024-07-22 13:24:52+00:00,in,,45,87,16467,5
tanyarlfes,"biasanya cowok suka bilang ""semangat"" ke cewek apa ga? Kalo disemangatin gitu tandanya apaa??

💚",2024-07-22 13:24:19+00:00,in,,28,97,15762,1
tanyarlfes,"gimana hari senin nya guyss??Kalian hari ini ngapain aja??

💚",2024-07-22 13:24:01+00:00,in,,18,109,15479,0
tanyarlfes,"aku ada utang puasa dri kls 6 sd sampe sekarang (21th) blm kebayar semua huhu. Cara melunasi nya kita ttp ganti puasa + fidyah juga kan ya? Aku cari di gugel masih kurang faham soalnyaaa 🙏🙏

💚",2024-07-22 13:23:42+00:00,in,,730,51,54372,35
tanyarlfes,"💚 TITIPAN

Guyss, kalo kalian sesuai kriteria mohon dibantu yaa kalo nggak tolong bantu rt, tia🙏🏻 https://t.co/edd75C76ud",2024-07-22 13:04:21+00:00,in,,16,9,5537,9
tanyarlfes,"RT @tanyakanrl: CW // KPOP

💚 ayo bantu ingetin ya guys https://t.co/CRO7zAAfOB",2024-07-22 12:26:41+00:00,in,,0,0,,2761
tanyarlfes,"pliss tanggepan kalian gimana?

💚 https://t.co/8HxeEHpKBI",2024-07-22 11:31:38+00:00,in,,158,49,16096,5
tanyarlfes,"yg bikin kamu happy selain uang apa?

 💚",2024-07-22 11:16:41+00:00,in,,270,663,73005,10
tanyarlfes,"💚 TITIPAN 

Curhat dikit nih, tolong ya guys https://t.co/xVcXT5v7Bg",2024-07-22 11:16:22+00:00,in,,53,21,24688,4
tanyarlfes,"RT @bestdiary_: Best Purchase tas travel anti badai 😭
Cewek cowo wajib punya 👍

Udh 2 tahun punya tas travel ini harga cuma 30 ribuan tapi…",2024-07-22 11:12:26+00:00,in,,0,0,,67
tanyarlfes,"💚 tanya dong aku bukan ip user, tp rencananya kalo udah ada rezeki pgn upgrade ke ip buat sambilan kerja (ngonten). Kalau mau beli online di lzd mending mana ya antara dua store ini? Yg toko ibox ini ori kan ya soalnya aku cek harga ip 13 di website selisihnya (cont) https://t.co/mJEnzyIC0P",2024-07-22 11:11:53+00:00,in,,27,21,11318,2
tanyarlfes,"💚 mau nanya dong buat kalian yang ngojol, kalau misalnya dapet customer yang minta tolong buat step-in motor karena mogok/minta temenin pulang krna takut pulang sendirian mau gak? Atau cancel? Sender penasaran hehe, tia 💗",2024-07-22 10:46:20+00:00,in,,8,7,6825,0
tanyarlfes,💚 ayo kasih tau sender lagu apa lagi yang harus ada di playlist iniii 😎 https://t.co/rqqejVdTMk,2024-07-22 09:58:19+00:00,in,,90,44,18208,7
tanyarlfes,"pernah ga nangis kangenin seseorang? kapan terakhir kali ngerasain itu? 

💚",2024-07-22 09:57:49+00:00,in,,202,258,38740,12
tanyarlfes,"Cowo sekarang masih ada yang mau sama cewe kulit sawo matang gak ? Lebih gelap dr kamu?

💚",2024-07-22 09:57:14+00:00,in,,99,51,27308,2
tanyarlfes,"sender masih sakit hati, kmren jalan sm cowo, trnyta dia cm nafsu aja, tp kmren dia ga ngomong apa2 cm td pagi doang dia ngomong klo dia itu nafsuan, trus sudahlah berakhir, sedih bgt gmn ya masalahnya itu first time sender jalan sm cowo 😞

💚",2024-07-22 09:56:31+00:00,in,,41,30,11674,1
tanyarlfes,"Tanyarl Aku beli papeda, pas nunggu ga sengaja liat di adonan telurnya kaya ada lalatnya.😭 soalnya diwarung belakangnya banyak lalat. Mending makan ga?😭 https://t.co/0WnfXxH17N",2024-07-22 09:47:45+00:00,in,,51,65,24228,2
tanyarlfes,💚 Nomor WA bisnis bisa diubah jadi wa pribadi nggak? Ada yang tau caranya? Tanpa ngeformat chatnya 🙇🏻‍♀️🙏🏻,2024-07-22 09:07:11+00:00,in,,11,15,12451,0
tanyarlfes,"💚 sekarang berasa lega &amp; enteng banget ambil keputusan ini. Biasanya bangun tidur habis bertengkar sedih/sembab, sekarang enteng dan gk kepikiran lagi https://t.co/nxAifL1FUT",2024-07-22 07:48:57+00:00,in,,595,46,25663,27
tanyarlfes,ayo kita tmnan yuk guyss!! 💚 https://t.co/NJSHjsHiwD,2024-07-22 04:32:24+00:00,in,,327,453,63873,43
tanyarlfes,"💚 Ruby udah klarif minta maap aja, sebelum dicari Abidzar sering banget reply Asbun ke org org di X, ngatain orang orang di X seenak jidat 🥲, yang 1 Arkan belom menampakkan diri, sepertinya pengen dijemput Abidzar 🥴 https://t.co/kNk20pf9L2",2024-07-22 04:22:50+00:00,in,,1817,93,118186,65
tanyarlfes,💚 cowo kalo dia on wa tapi gabales chat kita itu kira2 dia ngapain ya? diluar jam kerja yah ini. plis yg positif thinking😭🙏,2024-07-21 17:35:37+00:00,in,,232,197,66674,8
tanyarlfes,"💚 rencananya sender mau keretaan PP ke Surabaya, tepatnya turun di Pasar Turi. Selisih waktu turun dan berangkat lagi sekitar 2,5jam.
Dalam 2jam mungkin ada rekomendasi tempat/kuliner dekat stasiun?",2024-07-21 16:24:50+00:00,in,,24,7,17212,1
tanyarlfes,"💚 akhirnya nikah tinggal bentar lagi bisa kelar juga nyicil seserahan hampir setaun cari diskonan huhu, maaf kalo ada produk boyc soalnya nyicil dari taun kemarin 🥹🙏 https://t.co/5IPfWHtkvu",2024-07-21 13:39:26+00:00,in,,10811,352,813853,568
